Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"144837","29 ","Residential"
"144838","01 ","Agricultural Research and Management"
"144839","63 ","Warehouse, Storage and Workshops"
"144840","63 ","Warehouse, Storage and Workshops"
"144841","63 ","Warehouse, Storage and Workshops"
"144843","29 ","Residential"
"144845","29 ","Residential"
"144846","29 ","Residential"
"144847","63 ","Warehouse, Storage and Workshops"
"144848","29 ","Residential"
"144849","63 ","Warehouse, Storage and Workshops"
"144850","63 ","Warehouse, Storage and Workshops"
"144851","63 ","Warehouse, Storage and Workshops"
"144852","63 ","Warehouse, Storage and Workshops"
"144855","63 ","Warehouse, Storage and Workshops"
"144856","29 ","Residential"
"144857","29 ","Residential"
"144865","01 ","Agricultural Research and Management"
"144873","29 ","Residential"
"144874","29 ","Residential"
"144875","63 ","Warehouse, Storage and Workshops"
"144877","29 ","Residential"
"144878","47 ","Parks and Recreation"
"144879","63 ","Warehouse, Storage and Workshops"
"144880","29 ","Residential"
"144882","29 ","Residential"
"144885","29 ","Residential"
"144887","29 ","Residential"
"144888","29 ","Residential"
"144889","29 ","Residential"
"144890","10 ","Commercial Retail"
"144895","29 ","Residential"
"144896","63 ","Warehouse, Storage and Workshops"
"144897","29 ","Residential"
"144898","29 ","Residential"
"144900","63 ","Warehouse, Storage and Workshops"
"144901","29 ","Residential"
"144902","63 ","Warehouse, Storage and Workshops"
"144903","29 ","Residential"
"144904","29 ","Residential"
"144905","63 ","Warehouse, Storage and Workshops"
"144906","63 ","Warehouse, Storage and Workshops"
"144907","29 ","Residential"
"144909","63 ","Warehouse, Storage and Workshops"
"144910","29 ","Residential"
"144911","29 ","Residential"
"144912","29 ","Residential"
"144913","29 ","Residential"
"144914","13 ","Assembly and Cultural"
"144915","63 ","Warehouse, Storage and Workshops"
"144916","29 ","Residential"
"144917","29 ","Residential"
"144918","29 ","Residential"
"144920","29 ","Residential"
"144922","63 ","Warehouse, Storage and Workshops"
"144923","63 ","Warehouse, Storage and Workshops"
"144924","01 ","Agricultural Research and Management"
"144925","01 ","Agricultural Research and Management"
"144926","63 ","Warehouse, Storage and Workshops"
"144927","29 ","Residential"
"144928","29 ","Residential"
"144929","63 ","Warehouse, Storage and Workshops"
"144930","01 ","Agricultural Research and Management"
"144931","01 ","Agricultural Research and Management"
"144932","63 ","Warehouse, Storage and Workshops"
"144933","29 ","Residential"
"144934","10 ","Commercial Retail"
"144937","10 ","Commercial Retail"
"144938","63 ","Warehouse, Storage and Workshops"
"144939","01 ","Agricultural Research and Management"
"144940","45 ","Office"
"144941","29 ","Residential"
"144942","63 ","Warehouse, Storage and Workshops"
"144943","10 ","Commercial Retail"
"144944","63 ","Warehouse, Storage and Workshops"
"144945","29 ","Residential"
"144947","63 ","Warehouse, Storage and Workshops"
"144948","63 ","Warehouse, Storage and Workshops"
"144949","29 ","Residential"
"144950","29 ","Residential"
"144951","29 ","Residential"
"144954","29 ","Residential"
"144955","63 ","Warehouse, Storage and Workshops"
"144956","29 ","Residential"
"144959","29 ","Residential"
"144962","29 ","Residential"
"144963","01 ","Agricultural Research and Management"
"144964","63 ","Warehouse, Storage and Workshops"
"144966","29 ","Residential"
"144967","01 ","Agricultural Research and Management"
"144968","01 ","Agricultural Research and Management"
"144969","01 ","Agricultural Research and Management"
"144970","01 ","Agricultural Research and Management"
"144971","63 ","Warehouse, Storage and Workshops"
"144972","29 ","Residential"
"144978","13 ","Assembly and Cultural"
"144979","29 ","Residential"
"144980","29 ","Residential"
"144981","29 ","Residential"
"144982","63 ","Warehouse, Storage and Workshops"
"144984","63 ","Warehouse, Storage and Workshops"
"144985","29 ","Residential"
"144986","01 ","Agricultural Research and Management"
"144987","63 ","Warehouse, Storage and Workshops"
"144988","47 ","Parks and Recreation"
"144989","29 ","Residential"
"144990","63 ","Warehouse, Storage and Workshops"
"144992","63 ","Warehouse, Storage and Workshops"
"144993","29 ","Residential"
"144997","29 ","Residential"
"144998","63 ","Warehouse, Storage and Workshops"
"144999","29 ","Residential"
"145001","29 ","Residential"
"145002","10 ","Commercial Retail"
"145003","29 ","Residential"
"145004","63 ","Warehouse, Storage and Workshops"
"145005","29 ","Residential"
"145006","63 ","Warehouse, Storage and Workshops"
"145007","29 ","Residential"
"145008","63 ","Warehouse, Storage and Workshops"
"145012","29 ","Residential"
"145013","29 ","Residential"
"145014","63 ","Warehouse, Storage and Workshops"
"145015","63 ","Warehouse, Storage and Workshops"
"145016","29 ","Residential"
"145017","63 ","Warehouse, Storage and Workshops"
"145018","63 ","Warehouse, Storage and Workshops"
"145019","10 ","Commercial Retail"
"145020","10 ","Commercial Retail"
"145021","63 ","Warehouse, Storage and Workshops"
"145022","29 ","Residential"
"145023","10 ","Commercial Retail"
"145024","63 ","Warehouse, Storage and Workshops"
"145025","63 ","Warehouse, Storage and Workshops"
"145026","29 ","Residential"
"145027","63 ","Warehouse, Storage and Workshops"
"145028","01 ","Agricultural Research and Management"
"145030","10 ","Commercial Retail"
"145034","10 ","Commercial Retail"
"145036","29 ","Residential"
"145037","29 ","Residential"
"145038","63 ","Warehouse, Storage and Workshops"
"145039","63 ","Warehouse, Storage and Workshops"
"145043","63 ","Warehouse, Storage and Workshops"
"145045","63 ","Warehouse, Storage and Workshops"
"145049","29 ","Residential"
"145050","29 ","Residential"
"145051","10 ","Commercial Retail"
"145052","29 ","Residential"
"145053","29 ","Residential"
"145054","10 ","Commercial Retail"
"145056","63 ","Warehouse, Storage and Workshops"
"145057","63 ","Warehouse, Storage and Workshops"
"145058","29 ","Residential"
"145059","63 ","Warehouse, Storage and Workshops"
"145060","63 ","Warehouse, Storage and Workshops"
"145061","29 ","Residential"
"145063","63 ","Warehouse, Storage and Workshops"
"145064","29 ","Residential"
"145065","63 ","Warehouse, Storage and Workshops"
"145067","63 ","Warehouse, Storage and Workshops"
"145068","29 ","Residential"
"145069","13 ","Assembly and Cultural"
"145069","29 ","Residential"
"145070","63 ","Warehouse, Storage and Workshops"
"145071","29 ","Residential"
"145072","29 ","Residential"
"145073","29 ","Residential"
"145074","29 ","Residential"
"145076","29 ","Residential"
"145077","63 ","Warehouse, Storage and Workshops"
"145078","29 ","Residential"
"145079","45 ","Office"
"145080","29 ","Residential"
"145087","01 ","Agricultural Research and Management"
"145088","29 ","Residential"
"145089","63 ","Warehouse, Storage and Workshops"
"145090","63 ","Warehouse, Storage and Workshops"
"145091","29 ","Residential"
"145092","63 ","Warehouse, Storage and Workshops"
"145093","63 ","Warehouse, Storage and Workshops"
"145094","63 ","Warehouse, Storage and Workshops"
"145095","29 ","Residential"
"145096","29 ","Residential"
"145097","63 ","Warehouse, Storage and Workshops"
"145098","63 ","Warehouse, Storage and Workshops"
"145099","63 ","Warehouse, Storage and Workshops"
"145102","29 ","Residential"
"145104","47 ","Parks and Recreation"
"145105","47 ","Parks and Recreation"
"145106","47 ","Parks and Recreation"
"145107","47 ","Parks and Recreation"
"145108","19 ","Services and Utilities"
"145109","47 ","Parks and Recreation"
"145110","47 ","Parks and Recreation"
"145111","47 ","Parks and Recreation"
"145112","47 ","Parks and Recreation"
"145113","47 ","Parks and Recreation"
"145114","47 ","Parks and Recreation"
"145115","29 ","Residential"
"145116","29 ","Residential"
"145117","63 ","Warehouse, Storage and Workshops"
"145119","29 ","Residential"
"145120","29 ","Residential"
"145121","63 ","Warehouse, Storage and Workshops"
"145122","29 ","Residential"
"145123","29 ","Residential"
"145124","63 ","Warehouse, Storage and Workshops"
"145125","29 ","Residential"
"145126","13 ","Assembly and Cultural"
"145127","13 ","Assembly and Cultural"
"145128","63 ","Warehouse, Storage and Workshops"
"145129","13 ","Assembly and Cultural"
"145130","63 ","Warehouse, Storage and Workshops"
"145132","45 ","Office"
"145133","63 ","Warehouse, Storage and Workshops"
"145135","63 ","Warehouse, Storage and Workshops"
"145137","63 ","Warehouse, Storage and Workshops"
"145138","47 ","Parks and Recreation"
"145139","29 ","Residential"
"145140","63 ","Warehouse, Storage and Workshops"
"145141","63 ","Warehouse, Storage and Workshops"
"145142","63 ","Warehouse, Storage and Workshops"
"145143","63 ","Warehouse, Storage and Workshops"
"145145","29 ","Residential"
"145146","29 ","Residential"
"145147","63 ","Warehouse, Storage and Workshops"
"145148","63 ","Warehouse, Storage and Workshops"
"145149","29 ","Residential"
"145150","29 ","Residential"
"145151","29 ","Residential"
"145152","45 ","Office"
"145153","29 ","Residential"
"145154","29 ","Residential"
"145155","29 ","Residential"
"145156","29 ","Residential"
"145157","29 ","Residential"
"145158","29 ","Residential"
"145159","47 ","Parks and Recreation"
"145160","47 ","Parks and Recreation"
"145161","19 ","Services and Utilities"
"145162","29 ","Residential"
"145163","63 ","Warehouse, Storage and Workshops"
"145165","29 ","Residential"
"145166","29 ","Residential"
"145169","01 ","Agricultural Research and Management"
"145171","63 ","Warehouse, Storage and Workshops"
"145172","13 ","Assembly and Cultural"
"145173","41 ","Military"
"145174","63 ","Warehouse, Storage and Workshops"
"145175","09 ","Communications"
"145176","17 ","Education and Training"
"145177","63 ","Warehouse, Storage and Workshops"
"145178","63 ","Warehouse, Storage and Workshops"
"145179","13 ","Assembly and Cultural"
"145180","01 ","Agricultural Research and Management"
"145181","63 ","Warehouse, Storage and Workshops"
"145182","29 ","Residential"
"145183","29 ","Residential"
"145185","63 ","Warehouse, Storage and Workshops"
"145186","63 ","Warehouse, Storage and Workshops"
"145187","13 ","Assembly and Cultural"
"145188","13 ","Assembly and Cultural"
"145189","13 ","Assembly and Cultural"
"145190","13 ","Assembly and Cultural"
"145191","13 ","Assembly and Cultural"
"145192","13 ","Assembly and Cultural"
"145193","13 ","Assembly and Cultural"
"145194","63 ","Warehouse, Storage and Workshops"
"145195","63 ","Warehouse, Storage and Workshops"
"145196","29 ","Residential"
"145197","63 ","Warehouse, Storage and Workshops"
"145198","47 ","Parks and Recreation"
"145199","26 ","Health, Medical and Dental"
"145200","19 ","Services and Utilities"
"145201","19 ","Services and Utilities"
"145202","63 ","Warehouse, Storage and Workshops"
"145203","63 ","Warehouse, Storage and Workshops"
"145204","63 ","Warehouse, Storage and Workshops"
"145205","29 ","Residential"
"145206","29 ","Residential"
"145207","13 ","Assembly and Cultural"
"145209","29 ","Residential"
"145210","29 ","Residential"
"145211","29 ","Residential"
"145212","29 ","Residential"
"145213","29 ","Residential"
"145215","29 ","Residential"
"145217","29 ","Residential"
"145218","29 ","Residential"
"145219","29 ","Residential"
"145224","47 ","Parks and Recreation"
"145225","10 ","Commercial Retail"
"145226","47 ","Parks and Recreation"
"145227","63 ","Warehouse, Storage and Workshops"
"145228","63 ","Warehouse, Storage and Workshops"
"145229","10 ","Commercial Retail"
"145230","13 ","Assembly and Cultural"
"145231","13 ","Assembly and Cultural"
"145233","29 ","Residential"
"145234","10 ","Commercial Retail"
"145235","10 ","Commercial Retail"
"145237","63 ","Warehouse, Storage and Workshops"
"145238","10 ","Commercial Retail"
"145239","10 ","Commercial Retail"
"145240","10 ","Commercial Retail"
"145241","13 ","Assembly and Cultural"
"145242","13 ","Assembly and Cultural"
"145243","13 ","Assembly and Cultural"
"145244","13 ","Assembly and Cultural"
"145245","47 ","Parks and Recreation"
"145246","10 ","Commercial Retail"
"145247","47 ","Parks and Recreation"
"145248","29 ","Residential"
"145249","19 ","Services and Utilities"
"145250","19 ","Services and Utilities"
"145251","10 ","Commercial Retail"
"145252","13 ","Assembly and Cultural"
"145253","29 ","Residential"
"145254","29 ","Residential"
"145255","63 ","Warehouse, Storage and Workshops"
"145256","63 ","Warehouse, Storage and Workshops"
"145257","29 ","Residential"
"145259","13 ","Assembly and Cultural"
"145260","29 ","Residential"
"145261","26 ","Health, Medical and Dental"
"145262","13 ","Assembly and Cultural"
"145263","63 ","Warehouse, Storage and Workshops"
"145265","29 ","Residential"
"145267","29 ","Residential"
"145268","29 ","Residential"
"145274","13 ","Assembly and Cultural"
"145275","10 ","Commercial Retail"
"145276","19 ","Services and Utilities"
"145277","63 ","Warehouse, Storage and Workshops"
"145278","63 ","Warehouse, Storage and Workshops"
"145279","63 ","Warehouse, Storage and Workshops"
"145280","63 ","Warehouse, Storage and Workshops"
"145281","47 ","Parks and Recreation"
"145282","47 ","Parks and Recreation"
"145283","63 ","Warehouse, Storage and Workshops"
"145284","63 ","Warehouse, Storage and Workshops"
"145292","63 ","Warehouse, Storage and Workshops"
"145293","63 ","Warehouse, Storage and Workshops"
"145294","13 ","Assembly and Cultural"
"145295","47 ","Parks and Recreation"
"145296","47 ","Parks and Recreation"
"145297","63 ","Warehouse, Storage and Workshops"
"145298","13 ","Assembly and Cultural"
"145299","63 ","Warehouse, Storage and Workshops"
"145300","63 ","Warehouse, Storage and Workshops"
"145301","47 ","Parks and Recreation"
"145302","19 ","Services and Utilities"
"145304","29 ","Residential"
"145305","63 ","Warehouse, Storage and Workshops"
"145307","29 ","Residential"
"145308","29 ","Residential"
"145309","29 ","Residential"
"145310","29 ","Residential"
"145311","29 ","Residential"
"145312","29 ","Residential"
"145313","29 ","Residential"
"145314","29 ","Residential"
"145315","29 ","Residential"
"145316","29 ","Residential"
"145317","29 ","Residential"
"145318","29 ","Residential"
"145319","29 ","Residential"
"145320","63 ","Warehouse, Storage and Workshops"
"145321","63 ","Warehouse, Storage and Workshops"
"145322","63 ","Warehouse, Storage and Workshops"
"145323","63 ","Warehouse, Storage and Workshops"
"145324","29 ","Residential"
"145325","47 ","Parks and Recreation"
"145326","45 ","Office"
"145327","29 ","Residential"
"145328","13 ","Assembly and Cultural"
"145329","29 ","Residential"
"145330","63 ","Warehouse, Storage and Workshops"
"145331","63 ","Warehouse, Storage and Workshops"
"145332","63 ","Warehouse, Storage and Workshops"
"145333","19 ","Services and Utilities"
"145334","01 ","Agricultural Research and Management"
"145335","01 ","Agricultural Research and Management"
"145337","01 ","Agricultural Research and Management"
"145338","45 ","Office"
"145339","29 ","Residential"
"145340","63 ","Warehouse, Storage and Workshops"
"145453","29 ","Residential"
"145454","17 ","Education and Training"
"145457","29 ","Residential"
"145458","45 ","Office"
"145462","31 ","Industrial"
"145462","63 ","Warehouse, Storage and Workshops"
"145465","45 ","Office"
"145467","01 ","Agricultural Research and Management"
"145469","51 ","Research and Technological Development"
"145470","11 ","Law Enforcement and Corrections"
"145472","29 ","Residential"
"145473","01 ","Agricultural Research and Management"
"145474","11 ","Law Enforcement and Corrections"
"145475","13 ","Assembly and Cultural"
"145476","63 ","Warehouse, Storage and Workshops"
"145477","63 ","Warehouse, Storage and Workshops"
"145480","11 ","Law Enforcement and Corrections"
"145482","11 ","Law Enforcement and Corrections"
"145488","01 ","Agricultural Research and Management"
"145489","63 ","Warehouse, Storage and Workshops"
"145490","45 ","Office"
"145491","63 ","Warehouse, Storage and Workshops"
"145492","01 ","Agricultural Research and Management"
"145493","01 ","Agricultural Research and Management"
"145494","01 ","Agricultural Research and Management"
"145495","01 ","Agricultural Research and Management"
"145496","01 ","Agricultural Research and Management"
"145497","01 ","Agricultural Research and Management"
"145498","01 ","Agricultural Research and Management"
"145499","01 ","Agricultural Research and Management"
"145500","01 ","Agricultural Research and Management"
"145501","01 ","Agricultural Research and Management"
"145502","09 ","Communications"
"145510","60 ","Vacant"
"145512","63 ","Warehouse, Storage and Workshops"
"145513","63 ","Warehouse, Storage and Workshops"
"145517","45 ","Office"
"145518","63 ","Warehouse, Storage and Workshops"
"145521","63 ","Warehouse, Storage and Workshops"
"145533","01 ","Agricultural Research and Management"
"145537","13 ","Assembly and Cultural"
"145539","10 ","Commercial Retail"
"145545","47 ","Parks and Recreation"
"145550","29 ","Residential"
"145551","29 ","Residential"
"145552","41 ","Military"
"145553","63 ","Warehouse, Storage and Workshops"
"145565","60 ","Vacant"
"145566","45 ","Office"
"145567","45 ","Office"
"145568","45 ","Office"
"145569","29 ","Residential"
"145570","19 ","Services and Utilities"
"145571","19 ","Services and Utilities"
"145572","19 ","Services and Utilities"
"145574","45 ","Office"
"145577","19 ","Services and Utilities"
"145580","60 ","Vacant"
"145583","13 ","Assembly and Cultural"
"145584","29 ","Residential"
"145585","60 ","Vacant"
"145586","29 ","Residential"
"145587","63 ","Warehouse, Storage and Workshops"
"145588","47 ","Parks and Recreation"
"145589","63 ","Warehouse, Storage and Workshops"
"145591","63 ","Warehouse, Storage and Workshops"
"145593","63 ","Warehouse, Storage and Workshops"
"145594","63 ","Warehouse, Storage and Workshops"
"145595","63 ","Warehouse, Storage and Workshops"
"145596","63 ","Warehouse, Storage and Workshops"
"145597","63 ","Warehouse, Storage and Workshops"
"145598","63 ","Warehouse, Storage and Workshops"
"145601","01 ","Agricultural Research and Management"
"145602","29 ","Residential"
"145603","29 ","Residential"
"145604","29 ","Residential"
"145605","29 ","Residential"
"145606","29 ","Residential"
"145607","51 ","Research and Technological Development"
"145608","01 ","Agricultural Research and Management"
"145609","01 ","Agricultural Research and Management"
"145610","29 ","Residential"
"145611","63 ","Warehouse, Storage and Workshops"
"145616","29 ","Residential"
"145617","29 ","Residential"
"145623","29 ","Residential"
"145625","01 ","Agricultural Research and Management"
"145626","29 ","Residential"
"145627","45 ","Office"
"145628","51 ","Research and Technological Development"
"145677","45 ","Office"
"145678","45 ","Office"
"145679","45 ","Office"
"145680","45 ","Office"
"145687","45 ","Office"
"145688","45 ","Office"
"145692","45 ","Office"
"145695","45 ","Office"
"145702","13 ","Assembly and Cultural"
"145703","13 ","Assembly and Cultural"
"145704","13 ","Assembly and Cultural"
"145705","13 ","Assembly and Cultural"
"145706","31 ","Industrial"
"145707","31 ","Industrial"
"145708","13 ","Assembly and Cultural"
"145709","31 ","Industrial"
"145710","13 ","Assembly and Cultural"
"145711","17 ","Education and Training"
"145712","13 ","Assembly and Cultural"
"145713","45 ","Office"
"145714","63 ","Warehouse, Storage and Workshops"
"145715","13 ","Assembly and Cultural"
"145716","13 ","Assembly and Cultural"
"145717","13 ","Assembly and Cultural"
"145718","13 ","Assembly and Cultural"
"145719","13 ","Assembly and Cultural"
"145720","10 ","Commercial Retail"
"145721","29 ","Residential"
"145722","29 ","Residential"
"145723","29 ","Residential"
"145724","29 ","Residential"
"145725","29 ","Residential"
"145726","29 ","Residential"
"145727","29 ","Residential"
"145728","29 ","Residential"
"145729","29 ","Residential"
"145730","29 ","Residential"
"145731","29 ","Residential"
"145732","29 ","Residential"
"145733","29 ","Residential"
"145734","29 ","Residential"
"145735","29 ","Residential"
"145736","29 ","Residential"
"145737","29 ","Residential"
"145738","29 ","Residential"
"145739","29 ","Residential"
"145740","29 ","Residential"
"145741","29 ","Residential"
"145742","29 ","Residential"
"145743","13 ","Assembly and Cultural"
"145743","45 ","Office"
"145744","63 ","Warehouse, Storage and Workshops"
"145745","13 ","Assembly and Cultural"
"145746","31 ","Industrial"
"145746","63 ","Warehouse, Storage and Workshops"
"145746","63 ","Warehouse, Storage and Workshops"
"145747","19 ","Services and Utilities"
"145748","13 ","Assembly and Cultural"
"145749","01 ","Agricultural Research and Management"
"145751","45 ","Office"
"145752","63 ","Warehouse, Storage and Workshops"
"145753","13 ","Assembly and Cultural"
"145754","63 ","Warehouse, Storage and Workshops"
"145755","63 ","Warehouse, Storage and Workshops"
"145756","13 ","Assembly and Cultural"
"145757","10 ","Commercial Retail"
"145757","10 ","Commercial Retail"
"145758","47 ","Parks and Recreation"
"145759","45 ","Office"
"145760","13 ","Assembly and Cultural"
"145763","45 ","Office"
"145764","13 ","Assembly and Cultural"
"145765","13 ","Assembly and Cultural"
"145766","63 ","Warehouse, Storage and Workshops"
"145778","45 ","Office"
"145779","29 ","Residential"
"145780","11 ","Law Enforcement and Corrections"
"145781","63 ","Warehouse, Storage and Workshops"
"145782","11 ","Law Enforcement and Corrections"
"145783","19 ","Services and Utilities"
"145785","29 ","Residential"
"145786","63 ","Warehouse, Storage and Workshops"
"145787","45 ","Office"
"145789","45 ","Office"
"145790","29 ","Residential"
"145791","29 ","Residential"
"145792","29 ","Residential"
"145793","29 ","Residential"
"145794","29 ","Residential"
"145795","29 ","Residential"
"145796","29 ","Residential"
"145797","29 ","Residential"
"145798","29 ","Residential"
"145799","29 ","Residential"
"145800","29 ","Residential"
"145801","29 ","Residential"
"145805","11 ","Law Enforcement and Corrections"
"145807","29 ","Residential"
"145809","29 ","Residential"
"145813","63 ","Warehouse, Storage and Workshops"
"145814","29 ","Residential"
"145815","01 ","Agricultural Research and Management"
"145816","29 ","Residential"
"145817","29 ","Residential"
"145818","29 ","Residential"
"145819","63 ","Warehouse, Storage and Workshops"
"145820","29 ","Residential"
"145821","29 ","Residential"
"145822","29 ","Residential"
"145823","31 ","Industrial"
"145824","13 ","Assembly and Cultural"
"145826","60 ","Vacant"
"145829","63 ","Warehouse, Storage and Workshops"
"145830","29 ","Residential"
"145831","63 ","Warehouse, Storage and Workshops"
"145832","29 ","Residential"
"145833","63 ","Warehouse, Storage and Workshops"
"145834","63 ","Warehouse, Storage and Workshops"
"145835","63 ","Warehouse, Storage and Workshops"
"145836","01 ","Agricultural Research and Management"
"145838","63 ","Warehouse, Storage and Workshops"
"145843","63 ","Warehouse, Storage and Workshops"
"145846","63 ","Warehouse, Storage and Workshops"
"145847","63 ","Warehouse, Storage and Workshops"
"145850","29 ","Residential"
"145851","63 ","Warehouse, Storage and Workshops"
"145852","63 ","Warehouse, Storage and Workshops"
"145853","63 ","Warehouse, Storage and Workshops"
"145854","63 ","Warehouse, Storage and Workshops"
"145855","63 ","Warehouse, Storage and Workshops"
"145856","13 ","Assembly and Cultural"
"145857","29 ","Residential"
"145858","63 ","Warehouse, Storage and Workshops"
"145859","13 ","Assembly and Cultural"
"145862","60 ","Vacant"
"145867","11 ","Law Enforcement and Corrections"
"145868","63 ","Warehouse, Storage and Workshops"
"145906","29 ","Residential"
"145909","29 ","Residential"
"145912","63 ","Warehouse, Storage and Workshops"
"145913","29 ","Residential"
"145914","29 ","Residential"
"145915","60 ","Vacant"
"145916","13 ","Assembly and Cultural"
"145917","13 ","Assembly and Cultural"
"145918","13 ","Assembly and Cultural"
"145919","13 ","Assembly and Cultural"
"145920","63 ","Warehouse, Storage and Workshops"
"145921","63 ","Warehouse, Storage and Workshops"
"145923","63 ","Warehouse, Storage and Workshops"
"145924","45 ","Office"
"145925","29 ","Residential"
"145926","63 ","Warehouse, Storage and Workshops"
"145928","63 ","Warehouse, Storage and Workshops"
"145929","13 ","Assembly and Cultural"
"145930","63 ","Warehouse, Storage and Workshops"
"145931","63 ","Warehouse, Storage and Workshops"
"145932","63 ","Warehouse, Storage and Workshops"
"145946","29 ","Residential"
"145949","13 ","Assembly and Cultural"
"145957","60 ","Vacant"
"145983","29 ","Residential"
"145984","29 ","Residential"
"145990","29 ","Residential"
"145992","29 ","Residential"
"145993","29 ","Residential"
"145994","29 ","Residential"
"145995","29 ","Residential"
"145996","29 ","Residential"
"145997","29 ","Residential"
"145999","29 ","Residential"
"146000","29 ","Residential"
"146001","29 ","Residential"
"146002","63 ","Warehouse, Storage and Workshops"
"146006","80 ","Legislative, Judicial, and Diplomatic"
"146008","45 ","Office"
"146009","29 ","Residential"
"146038","29 ","Residential"
"146039","29 ","Residential"
"146040","29 ","Residential"
"146045","29 ","Residential"
"146050","29 ","Residential"
"146053","29 ","Residential"
"146055","63 ","Warehouse, Storage and Workshops"
"146057","11 ","Law Enforcement and Corrections"
"146059","10 ","Commercial Retail"
"146060","29 ","Residential"
"146061","31 ","Industrial"
"146062","31 ","Industrial"
"146063","31 ","Industrial"
"146064","45 ","Office"
"146065","45 ","Office"
"146065","63 ","Warehouse, Storage and Workshops"
"146066","45 ","Office"
"146067","10 ","Commercial Retail"
"146072","63 ","Warehouse, Storage and Workshops"
"146075","45 ","Office"
"146095","11 ","Law Enforcement and Corrections"
"146097","45 ","Office"
"146105","19 ","Services and Utilities"
"146106","19 ","Services and Utilities"
"146107","31 ","Industrial"
"146109","01 ","Agricultural Research and Management"
"146110","31 ","Industrial"
"146111","60 ","Vacant"
"146112","60 ","Vacant"
"146114","63 ","Warehouse, Storage and Workshops"
"146115","31 ","Industrial"
"146116","63 ","Warehouse, Storage and Workshops"
"146117","63 ","Warehouse, Storage and Workshops"
"146120","63 ","Warehouse, Storage and Workshops"
"146122","31 ","Industrial"
"146123","63 ","Warehouse, Storage and Workshops"
"146124","63 ","Warehouse, Storage and Workshops"
"146125","63 ","Warehouse, Storage and Workshops"
"146129","63 ","Warehouse, Storage and Workshops"
"146130","01 ","Agricultural Research and Management"
"146131","01 ","Agricultural Research and Management"
"146132","31 ","Industrial"
"146133","19 ","Services and Utilities"
"146134","29 ","Residential"
"146140","45 ","Office"
"146143","29 ","Residential"
"146144","63 ","Warehouse, Storage and Workshops"
"146145","19 ","Services and Utilities"
"146147","63 ","Warehouse, Storage and Workshops"
"146156","63 ","Warehouse, Storage and Workshops"
"146157","01 ","Agricultural Research and Management"
"146158","13 ","Assembly and Cultural"
"146161","45 ","Office"
"146163","13 ","Assembly and Cultural"
"146164","63 ","Warehouse, Storage and Workshops"
"146165","51 ","Research and Technological Development"
"146167","51 ","Research and Technological Development"
"146171","29 ","Residential"
"146172","01 ","Agricultural Research and Management"
"146173","01 ","Agricultural Research and Management"
"146174","63 ","Warehouse, Storage and Workshops"
"146175","01 ","Agricultural Research and Management"
"146177","29 ","Residential"
"146178","63 ","Warehouse, Storage and Workshops"
"146180","63 ","Warehouse, Storage and Workshops"
"146183","29 ","Residential"
"146184","60 ","Vacant"
"146185","29 ","Residential"
"146186","29 ","Residential"
"146187","29 ","Residential"
"146188","29 ","Residential"
"146189","29 ","Residential"
"146190","29 ","Residential"
"146191","63 ","Warehouse, Storage and Workshops"
"146192","29 ","Residential"
"146193","29 ","Residential"
"146194","63 ","Warehouse, Storage and Workshops"
"146195","01 ","Agricultural Research and Management"
"146196","63 ","Warehouse, Storage and Workshops"
"146197","05 ","Transportation - Air"
"146198","05 ","Transportation - Air"
"146199","63 ","Warehouse, Storage and Workshops"
"146200","63 ","Warehouse, Storage and Workshops"
"146201","63 ","Warehouse, Storage and Workshops"
"146202","11 ","Law Enforcement and Corrections"
"146206","29 ","Residential"
"146221","11 ","Law Enforcement and Corrections"
"146223","29 ","Residential"
"146233","29 ","Residential"
"146235","29 ","Residential"
"146240","29 ","Residential"
"146268","01 ","Agricultural Research and Management"
"146272","29 ","Residential"
"146274","29 ","Residential"
"146277","45 ","Office"
"146283","29 ","Residential"
"146287","29 ","Residential"
"146288","11 ","Law Enforcement and Corrections"
"146291","45 ","Office"
"146298","29 ","Residential"
"146301","63 ","Warehouse, Storage and Workshops"
"146302","63 ","Warehouse, Storage and Workshops"
"146303","63 ","Warehouse, Storage and Workshops"
"146304","45 ","Office"
"146305","29 ","Residential"
"146308","63 ","Warehouse, Storage and Workshops"
"146331","29 ","Residential"
"146333","29 ","Residential"
"146335","29 ","Residential"
"146342","29 ","Residential"
"146343","63 ","Warehouse, Storage and Workshops"
"146344","63 ","Warehouse, Storage and Workshops"
"146345","63 ","Warehouse, Storage and Workshops"
"146663","63 ","Warehouse, Storage and Workshops"
"146664","63 ","Warehouse, Storage and Workshops"
"150350","29 ","Residential"
"150351","63 ","Warehouse, Storage and Workshops"
"150352","63 ","Warehouse, Storage and Workshops"
"150353","29 ","Residential"
"150355","11 ","Law Enforcement and Corrections"
"150356","11 ","Law Enforcement and Corrections"
"150357","11 ","Law Enforcement and Corrections"
"150359","29 ","Residential"
"150360","29 ","Residential"
"150361","29 ","Residential"
