Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Property Number (TEXT data)","Structure Name","Custodian Code (TEXT data)","Custodian Name","Interest Type Code (TEXT data)","Interest Type","Street Address","Floor Area","Construction Year","Condition Type Code (TEXT data)","Condition","Fully Occupied Building","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Latitude","Longitude","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"111949","12394","Cartwright Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 5, P.O. Box 389 R0K 0L0","50.00","1982","4","Critical","Yes","4604052","Cartwright-Roblin","46","Manitoba","001","Brandon--Souris","CA","Canada","","","49.000067","-99.345708","0","Not Protected","Rural","2008-12-10 7:28:26 AM","2022-01-19 5:00:00 AM"
"111950","12401","Lena Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 18, P.O. Box 1780 R0K1G0","20.00","2008","4","Critical","Yes","4605025","Killarney - Turtle Mountain","46","Manitoba","001","Brandon--Souris","CA","Canada","","","49.000070","-99.659510","0","Not Protected","Rural","2008-12-10 7:28:26 AM","2022-01-19 5:00:00 AM"
"111951","12407","Boissevain Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 10, P.O. Box 1150  R0K 0E0","50.00","1955","2","Fair","Yes","4605032","Boissevain-Morton","46","Manitoba","001","Brandon--Souris","CA","Canada","","","49.001080","-100.052160","0","Not Protected","Rural","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111952","12407","Boissevain Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 10, P.O. Box 1150  R0K 0E0","4.00","1955","2","Fair","Yes","4605032","Boissevain-Morton","46","Manitoba","001","Brandon--Souris","CA","Canada","","","49.001080","-100.052160","0","Not Protected","Rural","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111953","12420","Lyleton Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 256, P.O. Box 206 R0M 1S0","77.00","2013","1","Good","Yes","4605056","Two Borders","46","Manitoba","001","Brandon--Souris","CA","Canada","","","49.000926","-101.297509","0","Not Protected","Isolated","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111956","13297","Carievale Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 8, P.O. Box 178","22.00","1963","2","Fair","Yes","4701001","Argyle No. 1","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001136","-101.628769","0","Not Protected","Isolated","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111957","13317","North Portal Border Crossing- Commercial Inspection Station","155","Canada Border Services Agency","10","Crown Owned","Highway 39, P.O. Box 60","840.00","1987","1","Good","Yes","4701018","North Portal","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","48.999646","-102.550725","0","Not Protected","Rural","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111958","13320","Estevan Highway Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 47, P.O Box 130","20.00","2008","4","Critical","Yes","4701022","Estevan No. 5","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000520","-102.999900","0","Not Protected","Rural","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111959","13352","Torquay Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 350, P.O. Box 129","102.00","1958","3","Poor","Yes","4702001","Cambria No. 6","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000668","-103.496623","0","Not Protected","Isolated","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111960","13352","Torquay Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 350, P.O. Box 129","22.00","1957","3","Poor","Yes","4702001","Cambria No. 6","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000788","-103.496039","0","Not Protected","Isolated","2008-12-11 6:57:09 AM","2022-01-19 5:00:00 AM"
"111961","13357","Oungre Border Crossing-Residence 1","155","Canada Border Services Agency","10","Crown Owned","Box 100, Hwy 35, Oungre","112.00","1955","4","Critical","Yes","4702006","Souris Valley No. 7","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000838","-103.807966","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111962","13357","Oungre Border Crossing","155","Canada Border Services Agency","10","Crown Owned","Box 100, Hwy 35, Oungre","70.00","1978","4","Critical","Yes","4702006","Souris Valley No. 7","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001074","-103.807617","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111963","13357","Oungre Border Crossing","155","Canada Border Services Agency","10","Crown Owned","Box 100, Hwy 35, Oungre","20.00","1978","4","Critical","Yes","4702006","Souris Valley No. 7","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000838","-103.807966","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111965","13358","Regway Border Crossing - Residential trailer","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","97.00","1985","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111966","13358","Regway Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA Regway","99.00","1955","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111967","13358","Regway Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","99.00","1955","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111968","13358","Regway Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","97.00","1945","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111969","13358","Regway Border Crossing-Inspection Station","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","20.00","1978","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.578903","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111970","13358","Regway Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","15.00","1955","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.578903","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111971","13358","Regway Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","20.00","1955","3","Poor","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111972","13358","Regway Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","20.00","1955","3","Poor","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.578903","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111973","13358","Regway Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","Highway 6 - CBSA - Regway","217.00","1973","4","Critical","Yes","4702014","Surprise Valley No. 9","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.001431","-104.579453","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111980","13434","Coronach Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 36, P.O. Box 189","8.00","1958","1","Good","Yes","4703001","Hart Butte No. 11","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","49.000600","-105.407518","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111981","13440","West Poplar River Border Crossing- Residence 2 Storey","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 450","99.00","1955","3","Poor","Yes","4703011","Old Post No. 43","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000290","-106.375750","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-01-19 5:00:00 AM"
"111983","13440","West Poplar River Border Crossing","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 450","37.00","1954","3","Poor","Yes","4703011","Old Post No. 43","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000179","-106.376093","0","Not Protected","Isolated","2008-12-16 11:33:58 AM","2022-11-17 5:00:00 AM"
"111984","13475","Monchy Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 4 - P.O. Box 180","99.00","1955","3","Poor","Yes","4704003","Val Marie No. 17","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000522","-107.831464","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111985","13475","Monchy Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 4 - P.O. Box 180","41.00","1955","3","Poor","Yes","4704003","Val Marie No. 17","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000350","-107.831370","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111986","13475","Monchy Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 4 - P.O. Box 180","37.00","1973","3","Poor","Yes","4704003","Val Marie No. 17","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000295","-107.831374","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111988","13497","Climax Border Crossing- House with Attached Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 37 P.O. Box 330","128.00","1992","2","Fair","Yes","4704006","Lone Tree No. 18","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000890","-108.387667","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-11-15 5:00:00 AM"
"111989","13497","Climax Border Crossing- Garage adjacent to house","155","Canada Border Services Agency","10","Crown Owned","Highway 37 - P.O. Box 330","128.00","1992","2","Fair","Yes","4704006","Lone Tree No. 18","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000316","-108.388578","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111990","13513","Willow Creek Border Crossing-Residence Trailer","155","Canada Border Services Agency","10","Crown Owned","Highway 21 - P.O. Box 229 S0N 0P0","110.00","1972","3","Poor","Yes","4704019","Reno No. 51","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000238","-109.731441","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111991","13513","Willow Creek Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 21 - P.O. Box 229 S0N 0P0","25.00","1974","1","Good","Yes","4704019","Reno No. 51","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000298","-109.731128","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111992","13513","Willow Creek Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 21 - P.O. Box 229 S0N 0P0","25.00","1974","4","Critical","Yes","4704019","Reno No. 51","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","49.000376","-109.731284","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111993","14948","Wild Horse Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 41,  RR1 Via Manyberries","28.00","2005","1","Good","Yes","4801003","Cypress County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","49.000283","-110.217643","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111994","14948","Wild Horse Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 41,  RR1 Via Manyberries","37.00","2004","1","Good","Yes","4801003","Cypress County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","49.000182","-110.217650","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"111995","14948","Wild Horse Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 41,  RR1 Via Manyberries","20.00","1958","4","Critical","Yes","4801003","Cypress County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","49.000283","-110.217643","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-11-15 5:00:00 AM"
"111996","14948","Wild Horse Border Crossing-Shed","155","Canada Border Services Agency","10","Crown Owned","Highway 41,  RR1 Via Manyberries","6.00","1958","4","Critical","Yes","4801003","Cypress County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","49.000283","-110.217643","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-11-15 5:00:00 AM"
"112000","14965","Aden Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 880, P.O. Box 17","29.00","1973","3","Poor","Yes","4801008","Forty Mile County No. 8","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.997678","-111.258185","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112002","14983","Coutts Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 4, P.O. Box 220","520.00","2004","1","Good","Yes","4802002","Coutts","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999484","-111.960860","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112003","15038","Del Bonita Border Crossing - Single Housing","155","Canada Border Services Agency","10","Crown Owned","Highway 62, General Delivery","84.00","1970","1","Good","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999650","-112.787460","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112004","15038","Del Bonita Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 62, General Delivery","25.00","1982","1","Good","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999600","-112.787610","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112005","15041","Carway Border Crossing- Carway South Maintenance Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 699","49.00","1954","2","Fair","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999107","-113.379138","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-10-14 5:00:00 AM"
"112006","15041","Carway Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 699","54.00","1953","2","Fair","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999220","-113.378880","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-10-14 5:00:00 AM"
"112008","15041","Carway Border Crossing- North Garage","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 699","54.00","1954","2","Fair","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999809","-113.378809","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-10-14 5:00:00 AM"
"112009","15041","Carway Border Crossing-Canopy","155","Canada Border Services Agency","10","Crown Owned","Highway 2, P.O. Box 699","220.00","1954","2","Fair","Yes","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.999809","-113.378809","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-10-14 5:00:00 AM"
"112010","15379","Chief Mountain Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","93.00","1974","4","Critical","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998190","-113.660420","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112011","15379","Chief Mountain Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","93.00","1974","4","Critical","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998120","-113.660530","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112012","15379","Chief Mountain Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","93.00","1974","4","Critical","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998526","-113.660531","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112013","15379","Chief Mountain Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","93.00","1974","4","Critical","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998520","-113.660510","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112014","15379","Chief Mountain Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","93.00","1974","4","Critical","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998383","-113.660312","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112016","16066","Flathead Border Crossing","090","Crown-Indigenous Relations and Northern Affairs Canada","10","Crown Owned","City of Grasmere, via Poleridge, Montana","80.00","2008","3","Poor","Yes","5901017","East Kootenay A","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.001520","-114.478370","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2017-09-25 3:38:02 PM"
"112017","16066","Flathead Border Crossing","090","Crown-Indigenous Relations and Northern Affairs Canada","10","Crown Owned","City of Grasmere, via Poleridge, Montana","50.00","2008","3","Poor","Yes","5901017","East Kootenay A","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.001520","-114.478370","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2017-09-25 3:38:02 PM"
"112018","16066","Flathead Border Crossing","090","Crown-Indigenous Relations and Northern Affairs Canada","10","Crown Owned","City of Grasmere, via Poleridge, Montana","20.00","2008","3","Poor","Yes","5901017","East Kootenay A","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.001520","-114.478370","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2017-09-25 3:38:02 PM"
"112024","16121","Kingsgate Border Crossing-Commercial Inspection Station","155","Canada Border Services Agency","10","Crown Owned","1617, Highway 95","473.00","2012","1","Good","Yes","5903013","Central Kootenay B","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.000820","-116.181050","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112025","16327","Midway Border Crossing-Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","Highway 3 - P.O. Box 97","198.00","1951","3","Poor","Yes","5905037","Midway","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.000530","-118.761180","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112027","16341","Osoyoos Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","202 97th Street","864.00","2003","1","Good","Yes","5907022","Okanagan-Similkameen A","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.000915","-119.463247","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112028","16350","Chopaka Border Crossing-Garage","155","Canada Border Services Agency","10","Crown Owned","1 Nighthawk Road","36.00","1954","3","Poor","Yes","5907026","Okanagan-Similkameen B","59","British Columbia","005","Central Okanagan--Similkameen--Nicola","CA","Canada","","","49.000560","-119.670140","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112030","16544","Abbotsford-Huntingdon Border Crossing-Inspection Station","155","Canada Border Services Agency","10","Crown Owned","2 Sumas Way, Hwy 11","1200.00","1992","1","Good","Yes","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","49.002830","-122.265290","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112031","16544","Abbotsford-Huntingdon Border Crossing-Inspection Station","155","Canada Border Services Agency","10","Crown Owned","2 Sumas Way, Hwy 11","310.00","1992","1","Good","Yes","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","49.002830","-122.265290","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112032","16642","Pacific Highway Border Crossing-Commercial Inspection Station","155","Canada Border Services Agency","10","Crown Owned","28, 176th Street","1344.00","1986","4","Critical","Yes","5915004","Surrey","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","49.003034","-122.733881","0","Not Protected","Urban","2008-12-18 8:19:42 AM","2022-11-22 5:00:01 AM"
"112044","20062","Little Gold Creek Border Crossing-Residential","155","Canada Border Services Agency","10","Crown Owned","1K-105 Top of the World Highway","65.00","2000","1","Good","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","64.085390","-141.000770","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112045","27316","Prescott Border Crossing-Commercial Inspection Station","155","Canada Border Services Agency","10","Crown Owned","1032, Highway 16","1074.00","2012","1","Good","Yes","3507004","Edwardsburgh","35","Ontario","050","Leeds--Grenville--Thousand Islands and Rideau Lakes","CA","Canada","","","44.745492","-75.470331","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112046","30170","Gretna Border Crossing-Shed","155","Canada Border Services Agency","10","Crown Owned","Highway 30, P.O. Box 427 R0G 0V0","16.00","1982","2","Fair","Yes","4603041","Rhineland","46","Manitoba","007","Portage--Lisgar","CA","Canada","","","49.001260","-97.555900","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-11-15 5:00:00 AM"
"112047","30172","Northgate Border Crossing-Canopy","155","Canada Border Services Agency","10","Crown Owned","Highway 9, P.O. Box 10","20.00","1964","3","Poor","Yes","4701011","Enniskillen No. 3","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","48.999570","-102.274450","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-11-15 5:00:00 AM"
"112049","30171","Beaver Creek Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Mile 1202, Alaska Highway","139.00","1955","2","Fair","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","62.442083","-140.839849","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112050","30171","Beaver Creek Border Crossing - Residential","155","Canada Border Services Agency","10","Crown Owned","Mile 1202, Alaska Highway","139.00","1955","2","Fair","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","62.442083","-140.839849","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112051","30171","Beaver Creek Border Crossing - Residential (House 1)","155","Canada Border Services Agency","10","Crown Owned","Mile 1202, Alaska Highway","113.00","1983","2","Fair","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","62.442083","-140.839849","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-10-03 12:00:01 PM"
"112052","30171","Beaver Creek Border Crossing - Residential (House 2)","155","Canada Border Services Agency","10","Crown Owned","Mile 1202, Alaska Highway","113.00","1983","2","Fair","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","62.442083","-140.839849","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-10-03 12:00:01 PM"
"112053","30171","Beaver Creek Border Crossing - Residential (House 3)","155","Canada Border Services Agency","10","Crown Owned","Mile 1202, Alaska Highway","113.00","1983","2","Fair","Yes","6001045","Yukon, Unorganized","60","Yukon","001","Yukon","CA","Canada","","","62.442083","-140.839849","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-10-03 12:00:01 PM"
"112054","32820","Emerson West Border Crossing","155","Canada Border Services Agency","10","Crown Owned","Highway 75, Manitoba, R0A 0L0","2228.00","2018","1","Good","Yes","4602024","Emerson-Franklin","46","Manitoba","008","Provencher","CA","Canada","","","49.002840","-97.236393","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112055","36554","Noyan/Alburg Border Crossing-Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","6, Road 225","514.00","1989","2","Fair","Yes","2456015","Noyan","24","Quebec","016","Brome--Missisquoi","CA","Canada","","","45.011700","-73.296510","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"112056","67411","Fraser Border Crossing - Residential (House 1 (94.9 sq.m) and House 2 (94.9 sq.m)","155","Canada Border Services Agency","10","Crown Owned","Mile 177, Klondike Hwy","190.00","1988","2","Fair","Yes","5957022","Stikine Region","59","British Columbia","028","Skeena--Bulkley Valley","CA","Canada","","","59.714980","-135.053517","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-09-21 5:00:00 AM"
"112057","67411","Fraser Border Crossing - Residential (House 3 (94.9 sq.m)+House 4  (94.9 sq.m))","155","Canada Border Services Agency","10","Crown Owned","Mile 177, Klondike Hwy","190.00","1988","2","Fair","Yes","5957022","Stikine Region","59","British Columbia","028","Skeena--Bulkley Valley","CA","Canada","","","59.714980","-135.053517","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-09-27 12:00:00 PM"
"130401","05756","Armoury","140","Public Services and Procurement Canada","10","Crown Owned","805 Wilfrid Laurier Avenue","8376.00","2016","1","Good","Yes","2423027","Québec","24","Quebec","059","Québec","CA","Canada","","","46.806428","-71.213492","0","Not Protected","Urban","2016-01-28 5:00:01 AM","2022-08-25 5:00:01 AM"
